contact ID,cam code,oft code,payment method,year_donation,recency,freq,monetary_value
455692,PA,DON,PRE,2014,355,1,20
151494,PA,DON,PRE,2014,355,1,10
34282,PA,DON,PRE,2014,355,1,70
348411,PA,DON,PRE,2014,355,1,20
287090,PA,DON,PRE,2014,355,1,0
476,PA,DON,PRE,2014,355,1,40
436421,PA,DON,PRE,2014,355,1,20
807373,PA,DON,PRE,2014,355,1,10
710587,PA,DON,PRE,2014,355,1,0
808657,PA,DON,PRE,2014,355,1,0
811232,PA,DON,PRE,2014,355,1,7
808528,PA,DON,PRE,2014,355,1,10
812296,PA,DON,PRE,2014,355,1,0
753939,PA,DON,PRE,2014,355,1,11
779491,PA,DON,PRE,2014,355,1,0
758001,PA,DON,PRE,2014,355,1,12
599953,PA,DON,PRE,2014,355,1,10
738906,PA,DON,PRE,2014,355,1,6
746245,PA,DON,PRE,2014,355,1,10
814260,PA,DON,PRE,2014,355,1,7
752790,PA,DON,PRE,2014,355,1,8
750241,PA,DON,PRE,2014,355,1,7
750033,PA,DON,PRE,2014,355,1,7
700679,PA,DON,PRE,2014,355,1,12
735624,PA,DON,PRE,2014,355,1,6
806925,PA,DON,PRE,2014,355,1,10
805577,PA,DON,PRE,2014,355,1,10
777955,PA,DON,PRE,2014,355,1,10
807476,PA,DON,PRE,2014,355,1,0
747261,PA,DON,PRE,2014,355,1,6
777850,PA,DON,PRE,2014,355,1,10
773119,PA,DON,PRE,2014,355,1,10
721399,PA,DON,PRE,2014,355,1,0
378389,PA,DON,PRE,2014,355,1,12
777951,PA,DON,PRE,2014,355,1,7
814373,PA,DON,PRE,2014,355,1,0
714213,PA,DON,PRE,2014,355,1,6
815603,PA,DON,PRE,2014,355,1,10
808692,PA,DON,PRE,2014,355,1,7
812565,PA,DON,PRE,2014,355,1,10
808536,PA,DON,PRE,2014,355,1,0
808680,PA,DON,PRE,2014,355,1,0
756662,PA,DON,PRE,2014,355,1,7
712740,PA,DON,PRE,2014,355,1,10
814862,PA,DON,PRE,2014,355,1,0
806791,PA,DON,PRE,2014,355,1,7
22915,PA,DON,PRE,2014,355,1,20
813947,PA,DON,PRE,2014,355,1,10
812362,PA,DON,PRE,2014,355,1,0
812484,PA,DON,PRE,2014,355,1,8
812242,PA,DON,PRE,2014,355,1,0
811763,PA,DON,PRE,2014,355,1,0
808220,PA,DON,PRE,2014,355,1,7
738665,PA,DON,PRE,2014,355,1,15
815993,PA,DON,PRE,2014,355,1,20
814769,PA,DON,PRE,2014,355,1,0
805718,PA,DON,PRE,2014,355,1,0
815891,PA,DON,PRE,2014,355,1,0
708054,PA,DON,PRE,2014,355,1,10
710995,PA,DON,PRE,2014,355,1,10
815262,PA,DON,PRE,2014,355,1,0
814314,PA,DON,PRE,2014,355,1,25
779127,PA,DON,PRE,2014,355,1,0
779452,PA,DON,PRE,2014,355,1,13
807507,PA,DON,PRE,2014,355,1,0
814214,PA,DON,PRE,2014,355,1,7
813898,PA,DON,PRE,2014,355,1,0
709733,PA,DON,PRE,2014,355,1,15
284556,PA,DON,PRE,2014,355,1,5
44258,PA,DON,PRE,2014,355,1,0
